 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4,Area5,Mean5,Min5,Max5,Area6,Mean6,Min6,Max6,Area7,Mean7,Min7,Max7,Area8,Mean8,Min8,Max8,Area9,Mean9,Min9,Max9,Area10,Mean10,Min10,Max10,Area11,Mean11,Min11,Max11,Area12,Mean12,Min12,Max12,Area13,Mean13,Min13,Max13,Area14,Mean14,Min14,Max14,Area15,Mean15,Min15,Max15,Area16,Mean16,Min16,Max16,Area17,Mean17,Min17,Max17,Area18,Mean18,Min18,Max18,Area19,Mean19,Min19,Max19,Area20,Mean20,Min20,Max20,Area21,Mean21,Min21,Max21,Area22,Mean22,Min22,Max22,Area23,Mean23,Min23,Max23,Area24,Mean24,Min24,Max24,Area25,Mean25,Min25,Max25,Area26,Mean26,Min26,Max26,Area27,Mean27,Min27,Max27,Area28,Mean28,Min28,Max28,Area29,Mean29,Min29,Max29,Area30,Mean30,Min30,Max30,Area31,Mean31,Min31,Max31,Area32,Mean32,Min32,Max32,Area33,Mean33,Min33,Max33,Area34,Mean34,Min34,Max34,Area35,Mean35,Min35,Max35,Area36,Mean36,Min36,Max36,Area37,Mean37,Min37,Max37,Area38,Mean38,Min38,Max38,Area39,Mean39,Min39,Max39,Area40,Mean40,Min40,Max40,Area41,Mean41,Min41,Max41,Area42,Mean42,Min42,Max42,Area43,Mean43,Min43,Max43,Area44,Mean44,Min44,Max44,Area45,Mean45,Min45,Max45,Area46,Mean46,Min46,Max46,Area47,Mean47,Min47,Max47,Area48,Mean48,Min48,Max48,Area49,Mean49,Min49,Max49,Area50,Mean50,Min50,Max50,Area51,Mean51,Min51,Max51,Area52,Mean52,Min52,Max52,Area53,Mean53,Min53,Max53,Area54,Mean54,Min54,Max54,Area55,Mean55,Min55,Max55,Area56,Mean56,Min56,Max56,Area57,Mean57,Min57,Max57,Area58,Mean58,Min58,Max58,Area59,Mean59,Min59,Max59,Area60,Mean60,Min60,Max60,Area61,Mean61,Min61,Max61,Area62,Mean62,Min62,Max62,Area63,Mean63,Min63,Max63,Area64,Mean64,Min64,Max64,Area65,Mean65,Min65,Max65,Area66,Mean66,Min66,Max66,Area67,Mean67,Min67,Max67,Area68,Mean68,Min68,Max68,Area69,Mean69,Min69,Max69,Area70,Mean70,Min70,Max70,Area71,Mean71,Min71,Max71,Area72,Mean72,Min72,Max72,Area73,Mean73,Min73,Max73,Area74,Mean74,Min74,Max74,Area75,Mean75,Min75,Max75,Area76,Mean76,Min76,Max76,Area77,Mean77,Min77,Max77,Area78,Mean78,Min78,Max78,Area79,Mean79,Min79,Max79,Area80,Mean80,Min80,Max80,Area81,Mean81,Min81,Max81,Area82,Mean82,Min82,Max82,Area83,Mean83,Min83,Max83,Area84,Mean84,Min84,Max84,Area85,Mean85,Min85,Max85,Area86,Mean86,Min86,Max86,Area87,Mean87,Min87,Max87,Area88,Mean88,Min88,Max88,Area89,Mean89,Min89,Max89,Area90,Mean90,Min90,Max90,Area91,Mean91,Min91,Max91,Area92,Mean92,Min92,Max92,Area93,Mean93,Min93,Max93,Area94,Mean94,Min94,Max94,Area95,Mean95,Min95,Max95,Area96,Mean96,Min96,Max96,Area97,Mean97,Min97,Max97,Area98,Mean98,Min98,Max98,Area99,Mean99,Min99,Max99,Area100,Mean100,Min100,Max100,Area101,Mean101,Min101,Max101,Area102,Mean102,Min102,Max102,Area103,Mean103,Min103,Max103,Area104,Mean104,Min104,Max104,Area105,Mean105,Min105,Max105,Area106,Mean106,Min106,Max106,Area107,Mean107,Min107,Max107,Area108,Mean108,Min108,Max108,Area109,Mean109,Min109,Max109,Area110,Mean110,Min110,Max110,Area111,Mean111,Min111,Max111,Area112,Mean112,Min112,Max112,Area113,Mean113,Min113,Max113,Area114,Mean114,Min114,Max114,Area115,Mean115,Min115,Max115,Area116,Mean116,Min116,Max116,Area117,Mean117,Min117,Max117,Area118,Mean118,Min118,Max118,Area119,Mean119,Min119,Max119,Area120,Mean120,Min120,Max120,Area121,Mean121,Min121,Max121,Area122,Mean122,Min122,Max122,Area123,Mean123,Min123,Max123,Area124,Mean124,Min124,Max124,Area125,Mean125,Min125,Max125,Area126,Mean126,Min126,Max126,Area127,Mean127,Min127,Max127,Area128,Mean128,Min128,Max128,Area129,Mean129,Min129,Max129,Area130,Mean130,Min130,Max130,Area131,Mean131,Min131,Max131,Area132,Mean132,Min132,Max132,Area133,Mean133,Min133,Max133,Area134,Mean134,Min134,Max134,Area135,Mean135,Min135,Max135,Area136,Mean136,Min136,Max136,Area137,Mean137,Min137,Max137,Area138,Mean138,Min138,Max138,Area139,Mean139,Min139,Max139,Area140,Mean140,Min140,Max140,Area141,Mean141,Min141,Max141,Area142,Mean142,Min142,Max142,Area143,Mean143,Min143,Max143,Area144,Mean144,Min144,Max144,Area145,Mean145,Min145,Max145,Area146,Mean146,Min146,Max146,Area147,Mean147,Min147,Max147,Area148,Mean148,Min148,Max148,Area149,Mean149,Min149,Max149,Area150,Mean150,Min150,Max150,Area151,Mean151,Min151,Max151,Area152,Mean152,Min152,Max152,Area153,Mean153,Min153,Max153,Area154,Mean154,Min154,Max154,Area155,Mean155,Min155,Max155,Area156,Mean156,Min156,Max156,Area157,Mean157,Min157,Max157,Area158,Mean158,Min158,Max158,Area159,Mean159,Min159,Max159,Area160,Mean160,Min160,Max160,Area161,Mean161,Min161,Max161,Area162,Mean162,Min162,Max162,Area163,Mean163,Min163,Max163,Area164,Mean164,Min164,Max164,Area165,Mean165,Min165,Max165,Area166,Mean166,Min166,Max166,Area167,Mean167,Min167,Max167,Area168,Mean168,Min168,Max168,Area169,Mean169,Min169,Max169,Area170,Mean170,Min170,Max170,Area171,Mean171,Min171,Max171,Area172,Mean172,Min172,Max172,Area173,Mean173,Min173,Max173,Area174,Mean174,Min174,Max174,Area175,Mean175,Min175,Max175,Area176,Mean176,Min176,Max176,Area177,Mean177,Min177,Max177,Area178,Mean178,Min178,Max178,Area179,Mean179,Min179,Max179,Area180,Mean180,Min180,Max180,Area181,Mean181,Min181,Max181,Area182,Mean182,Min182,Max182,Area183,Mean183,Min183,Max183,Area184,Mean184,Min184,Max184,Area185,Mean185,Min185,Max185,Area186,Mean186,Min186,Max186,Area187,Mean187,Min187,Max187,Area188,Mean188,Min188,Max188,Area189,Mean189,Min189,Max189,Area190,Mean190,Min190,Max190,Area191,Mean191,Min191,Max191,Area192,Mean192,Min192,Max192,Area193,Mean193,Min193,Max193,Area194,Mean194,Min194,Max194,Area195,Mean195,Min195,Max195,Area196,Mean196,Min196,Max196,Area197,Mean197,Min197,Max197,Area198,Mean198,Min198,Max198,Area199,Mean199,Min199,Max199,Area200,Mean200,Min200,Max200,Area201,Mean201,Min201,Max201,Area202,Mean202,Min202,Max202,Area203,Mean203,Min203,Max203,Area204,Mean204,Min204,Max204,Area205,Mean205,Min205,Max205,Area206,Mean206,Min206,Max206,Area207,Mean207,Min207,Max207,Area208,Mean208,Min208,Max208,Area209,Mean209,Min209,Max209,Area210,Mean210,Min210,Max210,Area211,Mean211,Min211,Max211,Area212,Mean212,Min212,Max212,Area213,Mean213,Min213,Max213,Area214,Mean214,Min214,Max214,Area215,Mean215,Min215,Max215,Area216,Mean216,Min216,Max216,Area217,Mean217,Min217,Max217,Area218,Mean218,Min218,Max218,Area219,Mean219,Min219,Max219,Area220,Mean220,Min220,Max220,Area221,Mean221,Min221,Max221,Area222,Mean222,Min222,Max222,Area223,Mean223,Min223,Max223,Area224,Mean224,Min224,Max224,Area225,Mean225,Min225,Max225,Area226,Mean226,Min226,Max226,Area227,Mean227,Min227,Max227,Area228,Mean228,Min228,Max228,Area229,Mean229,Min229,Max229,Area230,Mean230,Min230,Max230,Area231,Mean231,Min231,Max231,Area232,Mean232,Min232,Max232
1,67,38.478,11,89,151,20.497,0,56,107,13.168,0,45,100,11.550,0,33,75,20.467,0,56,126,14.667,0,33,110,14.900,0,33,64,19.438,0,45,169,22.349,0,78,130,15.746,0,45,123,20.561,0,89,77,13.026,0,45,125,38.208,0,111,137,15.912,0,45,76,13.605,0,33,126,11.611,0,22,254,29.740,0,167,208,19.904,0,56,114,20.132,0,100,130,12.862,0,33,123,35.024,11,89,78,9.449,0,22,123,19.813,0,67,115,18.296,0,78,129,55.527,22,122,190,15.953,0,45,148,30.426,11,122,142,29.507,0,134,118,30.449,0,100,68,17.500,0,45,68,19.926,0,45,211,20.493,0,67,96,27.469,0,134,80,27.562,0,111,142,30.789,0,89,139,22.640,0,67,122,14.516,0,33,101,18.257,0,78,183,39.104,11,167,75,81.400,11,167,159,23.535,11,78,64,51.078,22,134,1,11,11,11,86,22.372,0,89,103,63.136,22,167,84,18.869,0,45,81,52.272,11,145,198,30.960,0,78,72,18.181,0,33,64,16.359,0,89,83,18.687,11,33,110,17.909,0,45,171,34.953,11,122,283,26.180,0,89,235,42.923,11,156,111,22.198,0,78,72,56.764,11,134,115,63.922,22,167,122,20.139,11,78,158,31.399,0,78,61,46.049,11,145,103,40.816,11,78,90,113.122,67,167,132,53.136,11,167,72,27.403,11,56,69,36.072,11,67,105,64.886,33,111,1,78,78,78,64,89.891,56,134,109,39.862,0,145,1,11,11,11,65,29.062,11,78,1,33,33,33,149,28.832,0,56,46,26.152,11,67,127,24.906,11,45,134,47.687,11,122,168,33.375,11,145,1,11,11,11,198,36.758,11,111,96,44.333,11,100,82,22.488,11,67,119,43.395,11,111,126,42.270,11,145,38,32.632,11,78,70,24.800,11,56,81,44.877,11,134,1,67,67,67,81,38.210,11,156,135,31.193,0,134,3,22.000,22,22,147,34.755,11,167,67,13.299,0,22,6,46.500,33,67,114,28.237,0,156,1,45,45,45,88,21.693,0,67,88,25.807,11,45,80,63.500,22,134,200,30.735,11,78,69,58.913,0,167,88,45.977,11,167,134,45.440,11,167,90,25.756,11,67,85,47.800,22,134,127,45.567,11,100,89,25.045,11,100,116,25.586,11,134,140,46.993,11,167,174,27.437,0,111,67,24.746,11,67,76,32.961,11,100,1,67,67,67,193,38.249,11,167,114,26.658,0,78,73,19.000,0,45,186,31.290,11,122,60,37.033,0,134,184,45.679,11,156,174,33.293,11,122,1,11,11,11,4,8.250,0,11,107,93.187,33,167,56,25.679,11,89,219,32.913,11,100,86,19.442,0,33,65,33.723,22,78,64,56.547,22,156,1,100,100,100,64,11.688,0,22,146,53.274,22,145,173,47.341,11,167,166,34.398,11,156,163,48.080,11,167,169,42.757,11,145,1,22,22,22,1,22,22,22,73,25.096,11,78,70,59.957,11,167,167,24.138,0,145,98,32.663,11,100,1,33,33,33,195,20.026,0,111,153,55.425,11,167,189,48.238,11,167,190,33.705,0,100,177,47.977,11,167,112,23.821,11,89,70,20.586,11,33,149,33.174,11,111,120,53.342,11,167,141,25.163,11,167,72,51.694,11,122,214,53.425,11,156,74,32.973,11,100,212,46.071,11,134,141,20.248,0,145,193,40.648,11,156,87,42.793,11,145,88,37.398,11,122,236,65.335,11,167,253,16.621,0,45,61,63.066,22,122,78,43.769,11,134,155,63.639,11,167,238,28.450,0,122,117,30.017,11,89,181,22.779,0,111,190,49.584,11,145,193,23.067,0,100,174,47.443,11,134,238,34.164,11,134,150,18.327,0,56,319,25.285,0,100,74,28.243,11,67,167,22.012,0,56,238,20.962,0,89,204,41.328,0,167,78,13.115,0,22,86,15.093,0,33,70,32.286,11,122,62,15.823,0,56,72,27.958,0,111,60,30.067,0,111,155,27.265,0,167,127,34.654,0,167,151,36.570,0,156,89,14.461,0,33,76,16.355,0,33,94,56.787,0,167,64,10.141,0,22,79,18.392,0,56,66,63.212,11,167,207,16.831,0,89,95,10.653,0,22,63,17.508,11,67,83,18.072,0,45,108,19.917,0,56,89,28.079,11,156,213,14.469,0,100,221,17.068,0,111,188,15.867,0,45,176,14.568,0,45,86,15.500,0,67,198,20.778,0,89,75,10.853,0,22,78,23.808,11,56,184,12.076,0,33,196,17.158,0,67,67,57.045,11,156,2,16.500,11,22,2,5.500,0,11,117,45.735,0,167,154,16.227,0,45,210,13.829,0,33,62,14.016,0,33,96,16.156,0,33,127,13.512,0,33,1,11,11,11,64,20.500,0,67,65,9.477,0,22,221,14.335,0,33,146,14.616,0,33,150,13.500,0,56,127,16.992,0,56,1,11,11,11,83,10.867,0,22,85,11.518,0,22,113,14.894,0,33,126,14.159,0,45,178,11.803,0,22,144,16.625,0,67
2,67,134.030,67,167,151,115.232,45,167,107,83.355,45,134,100,70.640,45,134,75,65.200,33,145,126,79.000,22,156,110,83.164,33,156,64,95.672,33,167,169,108.840,33,167,130,108.446,45,167,123,90.106,33,167,77,78.325,45,156,125,73.880,33,145,137,80.453,33,156,76,97.868,33,167,126,104.167,45,156,254,94.425,11,167,208,101.389,22,167,114,83.667,33,156,130,70.415,22,145,123,89.545,22,167,78,66.692,33,100,123,104.000,45,167,115,97.696,11,167,129,97.853,45,167,190,111.632,45,167,148,126.236,33,167,142,127.782,56,167,118,112.051,45,167,68,90.103,33,167,68,71.265,11,156,211,95.730,22,167,96,93.042,22,167,80,83.150,33,167,142,90.500,22,167,139,102.137,22,167,122,87.295,22,167,101,87.020,33,167,183,90.749,33,167,75,91.293,33,167,159,96.365,33,167,64,88.594,11,167,1,56,56,56,86,74.709,33,134,103,98.087,22,167,84,88.476,33,167,81,94.395,56,156,198,114.823,33,167,72,92.708,45,156,64,64.562,33,145,83,97.687,22,167,110,69.136,22,167,171,94.532,33,167,283,106.792,33,167,235,124.672,11,167,111,75.514,22,156,72,75.069,33,122,115,75.661,33,122,122,68.533,33,134,158,83.253,33,145,61,52.033,22,89,103,79.301,45,134,90,91.844,45,134,132,59.788,11,134,72,81.681,33,156,69,78.797,22,167,105,89.362,56,134,1,56,56,56,64,65.234,33,100,109,108.294,33,167,1,67,67,67,65,72.892,33,122,1,45,45,45,149,73.530,22,156,46,97.870,56,134,127,57.984,33,122,134,105.604,33,167,168,78.583,33,145,1,33,33,33,198,67.798,33,134,96,56.896,22,100,82,63.195,33,100,119,57.311,11,111,126,71.024,22,145,38,80.053,33,134,70,73.757,33,145,81,83.975,22,145,1,45,45,45,81,67.728,22,111,135,68.644,11,167,3,37.333,22,45,147,142.190,56,167,67,58.881,33,111,6,54.167,45,67,114,56.368,11,111,1,67,67,67,88,58.659,22,134,88,95.125,45,167,80,66.425,22,145,200,74.875,22,156,69,84.812,33,167,88,69.773,33,156,134,70.604,22,167,90,60.922,22,111,85,50.071,33,78,127,71.362,33,122,89,65.022,22,145,116,65.853,22,134,140,67.821,22,145,174,66.069,22,167,67,55.687,22,134,76,69.645,22,167,1,67,67,67,193,67.953,11,167,114,56.167,22,122,73,75.630,33,167,186,60.113,11,145,60,58.417,22,111,184,68.413,11,167,174,66.351,22,134,1,45,45,45,4,61.500,45,89,107,56.336,22,145,56,64.393,33,134,219,70.114,11,167,86,53.453,22,100,65,62.585,33,122,64,50.172,22,78,1,33,33,33,64,47.656,11,78,146,70.158,33,134,173,104.503,22,167,166,75.807,22,156,163,74.515,22,156,169,68.112,22,145,1,33,33,33,1,33,33,33,73,59.288,22,111,70,73.714,33,156,167,67.952,11,156,98,68.398,22,156,1,67,67,67,195,75.892,22,167,153,74.595,22,145,189,76.180,22,167,190,62.832,22,111,177,64.944,11,167,112,52.920,22,89,70,68.743,22,156,149,62.054,11,145,120,63.700,22,134,141,57.369,22,100,72,64.861,22,122,214,57.243,22,156,74,67.527,33,145,212,62.057,22,122,141,55.057,22,122,193,61.057,22,134,87,72.851,11,167,88,57.068,11,100,236,70.792,11,167,253,77.739,11,167,61,66.508,22,156,78,53.167,22,156,155,69.258,11,134,238,56.908,11,156,117,62.479,22,156,181,78.801,22,167,190,72.532,22,156,193,60.637,33,111,174,65.362,22,122,238,56.580,22,111,150,71.307,22,134,319,81.408,22,167,74,53.338,22,111,167,56.305,22,100,238,71.710,22,134,204,78.985,11,167,78,69.269,45,156,86,54.872,11,134,70,45.471,22,78,62,66.468,45,122,72,65.208,11,134,60,57.233,22,134,155,60.529,11,122,127,92.260,33,167,151,62.225,11,122,89,59.472,22,122,76,58.711,22,111,94,67.128,11,156,64,41.438,22,89,79,45.468,11,78,66,64.682,22,111,207,82.415,22,167,95,45.968,0,111,63,44.937,11,89,83,71.928,22,167,108,70.611,22,156,89,63.640,11,134,213,64.709,11,156,221,67.376,11,156,188,65.085,22,134,176,83.290,11,167,86,54.651,11,100,198,68.975,22,156,75,51.600,22,78,78,59.641,22,122,184,53.462,22,100,196,60.939,22,156,67,86.149,22,156,2,39.000,33,45,2,39.000,33,45,117,56.675,22,134,154,59.831,22,122,210,72.729,22,167,62,61.274,22,122,96,68.438,33,134,127,55.787,22,122,1,33,33,33,64,62.406,22,122,65,42.369,11,78,221,69.371,22,145,146,45.459,11,89,150,77.360,22,167,127,67.126,22,145,1,45,45,45,83,54.217,22,111,85,56.341,22,100,113,66.681,22,145,126,65.913,22,145,178,77.258,22,167,144,83.500,33,145
3,67,7.881,0,16,151,5.404,0,16,107,0.000,0,0,100,0.480,0,16,75,0.000,0,0,126,0.635,0,16,110,0.873,0,16,64,1.000,0,16,169,3.030,0,16,130,1.969,0,16,123,0.650,0,16,77,0.000,0,0,125,0.128,0,16,137,0.234,0,16,76,0.421,0,16,126,0.000,0,0,254,1.512,0,16,208,1.846,0,16,114,2.667,0,16,130,4.800,0,32,123,1.171,0,16,78,0.000,0,0,123,0.650,0,16,115,1.948,0,16,129,2.233,0,16,190,1.347,0,16,148,3.135,0,16,142,0.901,0,16,118,6.373,0,32,68,0.471,0,16,68,25.882,0,112,211,2.351,0,16,96,3.667,0,48,80,0.400,0,16,142,2.366,0,16,139,8.978,0,64,122,0.262,0,16,101,0.158,0,16,183,1.661,0,16,75,4.480,0,16,159,0.302,0,16,64,4.500,0,16,1,0,0,0,86,0.186,0,16,103,5.592,0,64,84,1.333,0,32,81,0.593,0,16,198,3.394,0,16,72,0.222,0,16,64,0.000,0,0,83,0.578,0,16,110,1.018,0,16,171,2.433,0,16,283,2.431,0,16,235,4.970,0,16,111,0.144,0,16,72,0.000,0,0,115,19.200,0,48,122,0.131,0,16,158,0.000,0,0,61,0.262,0,16,103,0.000,0,0,90,9.600,0,16,132,0.727,0,16,72,0.667,0,16,69,1.159,0,16,105,4.114,0,16,1,0,0,0,64,2.250,0,16,109,1.908,0,16,1,0,0,0,65,0.000,0,0,1,16,16,16,149,0.107,0,16,46,0.000,0,0,127,9.323,0,64,134,1.194,0,16,168,0.095,0,16,1,0,0,0,198,0.808,0,16,96,1.000,0,16,82,0.000,0,0,119,11.966,0,64,126,0.381,0,16,38,0.842,0,16,70,0.914,0,16,81,1.185,0,16,1,0,0,0,81,0.000,0,0,135,0.356,0,16,3,0.000,0,0,147,4.571,0,16,67,0.478,0,16,6,0.000,0,0,114,0.000,0,0,1,0,0,0,88,0.000,0,0,88,0.000,0,0,80,1.200,0,16,200,0.320,0,16,69,0.696,0,16,88,1.273,0,16,134,1.433,0,16,90,0.178,0,16,85,26.918,16,64,127,0.000,0,0,89,0.000,0,0,116,0.276,0,16,140,2.057,0,16,174,0.736,0,16,67,0.000,0,0,76,0.000,0,0,1,0,0,0,193,0.497,0,16,114,0.000,0,0,73,0.000,0,0,186,7.914,0,96,60,23.467,0,80,184,0.348,0,16,174,20.782,0,80,1,0,0,0,4,0.000,0,0,107,2.393,0,16,56,0.000,0,0,219,1.826,0,16,86,0.930,0,16,65,0.246,0,16,64,5.750,0,32,1,16,16,16,64,0.000,0,0,146,0.000,0,0,173,1.110,0,16,166,0.000,0,0,163,0.196,0,16,169,2.178,0,32,1,0,0,0,1,0,0,0,73,0.219,0,16,70,2.057,0,16,167,0.192,0,16,98,0.163,0,16,1,0,0,0,195,0.492,0,16,153,1.464,0,16,189,2.540,0,48,190,0.000,0,0,177,11.299,0,80,112,0.000,0,0,70,0.457,0,16,149,0.644,0,16,120,0.133,0,16,141,0.000,0,0,72,0.000,0,0,214,1.794,0,16,74,0.216,0,16,212,23.245,0,112,141,1.929,0,32,193,0.415,0,16,87,1.655,0,16,88,0.545,0,16,236,1.153,0,16,253,0.569,0,16,61,0.262,0,16,78,0.410,0,16,155,0.000,0,0,238,0.067,0,16,117,5.197,0,32,181,0.354,0,16,190,3.621,0,32,193,0.000,0,0,174,0.184,0,16,238,0.000,0,0,150,1.067,0,32,319,0.602,0,16,74,0.000,0,0,167,0.000,0,0,238,1.546,0,16,204,1.490,0,16,78,0.000,0,0,86,0.000,0,0,70,0.000,0,0,62,0.258,0,16,72,0.222,0,16,60,5.333,0,64,155,0.619,0,16,127,0.756,0,16,151,0.424,0,16,89,0.000,0,0,76,0.421,0,16,94,2.894,0,16,64,0.000,0,0,79,0.000,0,0,66,0.970,0,16,207,0.541,0,16,95,0.000,0,0,63,0.000,0,0,83,1.157,0,16,108,1.481,0,16,89,6.472,0,48,213,0.075,0,16,221,0.652,0,16,188,0.085,0,16,176,0.091,0,16,86,0.000,0,0,198,1.939,0,48,75,0.000,0,0,78,0.000,0,0,184,1.391,0,32,196,0.490,0,16,67,18.866,0,96,2,0.000,0,0,2,0.000,0,0,117,0.957,0,16,154,0.208,0,16,210,0.305,0,16,62,0.000,0,0,96,0.000,0,0,127,0.000,0,0,1,0,0,0,64,0.000,0,0,65,0.000,0,0,221,0.145,0,16,146,14.904,0,80,150,0.000,0,0,127,4.661,0,48,1,0,0,0,83,0.000,0,0,85,0.000,0,0,113,0.991,0,16,126,0.000,0,0,178,0.000,0,0,144,0.000,0,0
4,67,254.000,254,254,151,254.000,254,254,107,254.000,254,254,100,254.000,254,254,75,254.000,254,254,126,254.000,254,254,110,254.000,254,254,64,254.000,254,254,169,254.000,254,254,130,254.000,254,254,123,254.000,254,254,77,254.000,254,254,125,254.000,254,254,137,254.000,254,254,76,254.000,254,254,126,254.000,254,254,254,254.000,254,254,208,254.000,254,254,114,254.000,254,254,130,254.000,254,254,123,254.000,254,254,78,254.000,254,254,123,254.000,254,254,115,254.000,254,254,129,254.000,254,254,190,254.000,254,254,148,254.000,254,254,142,254.000,254,254,118,254.000,254,254,68,254.000,254,254,68,254.000,254,254,211,254.000,254,254,96,254.000,254,254,80,254.000,254,254,142,254.000,254,254,139,254.000,254,254,122,254.000,254,254,101,254.000,254,254,183,254.000,254,254,75,254.000,254,254,159,254.000,254,254,64,254.000,254,254,1,254,254,254,86,254.000,254,254,103,254.000,254,254,84,254.000,254,254,81,254.000,254,254,198,254.000,254,254,72,254.000,254,254,64,254.000,254,254,83,254.000,254,254,110,254.000,254,254,171,254.000,254,254,283,254.000,254,254,235,254.000,254,254,111,254.000,254,254,72,254.000,254,254,115,254.000,254,254,122,254.000,254,254,158,254.000,254,254,61,254.000,254,254,103,254.000,254,254,90,254.000,254,254,132,254.000,254,254,72,254.000,254,254,69,254.000,254,254,105,254.000,254,254,1,254,254,254,64,254.000,254,254,109,254.000,254,254,1,254,254,254,65,254.000,254,254,1,254,254,254,149,254.000,254,254,46,254.000,254,254,127,254.000,254,254,134,254.000,254,254,168,254.000,254,254,1,254,254,254,198,254.000,254,254,96,254.000,254,254,82,254.000,254,254,119,254.000,254,254,126,254.000,254,254,38,254.000,254,254,70,254.000,254,254,81,254.000,254,254,1,254,254,254,81,254.000,254,254,135,254.000,254,254,3,254.000,254,254,147,254.000,254,254,67,254.000,254,254,6,254.000,254,254,114,254.000,254,254,1,254,254,254,88,254.000,254,254,88,254.000,254,254,80,254.000,254,254,200,254.000,254,254,69,254.000,254,254,88,254.000,254,254,134,254.000,254,254,90,254.000,254,254,85,254.000,254,254,127,254.000,254,254,89,254.000,254,254,116,254.000,254,254,140,254.000,254,254,174,254.000,254,254,67,254.000,254,254,76,254.000,254,254,1,254,254,254,193,254.000,254,254,114,254.000,254,254,73,254.000,254,254,186,254.000,254,254,60,254.000,254,254,184,254.000,254,254,174,254.000,254,254,1,254,254,254,4,254.000,254,254,107,254.000,254,254,56,254.000,254,254,219,254.000,254,254,86,254.000,254,254,65,254.000,254,254,64,254.000,254,254,1,254,254,254,64,254.000,254,254,146,254.000,254,254,173,254.000,254,254,166,254.000,254,254,163,254.000,254,254,169,254.000,254,254,1,254,254,254,1,254,254,254,73,254.000,254,254,70,254.000,254,254,167,254.000,254,254,98,254.000,254,254,1,254,254,254,195,254.000,254,254,153,254.000,254,254,189,254.000,254,254,190,254.000,254,254,177,254.000,254,254,112,254.000,254,254,70,254.000,254,254,149,254.000,254,254,120,254.000,254,254,141,254.000,254,254,72,254.000,254,254,214,254.000,254,254,74,254.000,254,254,212,254.000,254,254,141,254.000,254,254,193,254.000,254,254,87,254.000,254,254,88,254.000,254,254,236,254.000,254,254,253,254.000,254,254,61,254.000,254,254,78,254.000,254,254,155,254.000,254,254,238,254.000,254,254,117,254.000,254,254,181,254.000,254,254,190,254.000,254,254,193,254.000,254,254,174,254.000,254,254,238,254.000,254,254,150,254.000,254,254,319,254.000,254,254,74,254.000,254,254,167,254.000,254,254,238,254.000,254,254,204,254.000,254,254,78,254.000,254,254,86,254.000,254,254,70,254.000,254,254,62,254.000,254,254,72,254.000,254,254,60,254.000,254,254,155,254.000,254,254,127,254.000,254,254,151,254.000,254,254,89,254.000,254,254,76,254.000,254,254,94,254.000,254,254,64,254.000,254,254,79,254.000,254,254,66,254.000,254,254,207,254.000,254,254,95,254.000,254,254,63,254.000,254,254,83,254.000,254,254,108,254.000,254,254,89,254.000,254,254,213,254.000,254,254,221,254.000,254,254,188,254.000,254,254,176,254.000,254,254,86,254.000,254,254,198,254.000,254,254,75,254.000,254,254,78,254.000,254,254,184,254.000,254,254,196,254.000,254,254,67,254.000,254,254,2,254.000,254,254,2,254.000,254,254,117,254.000,254,254,154,254.000,254,254,210,254.000,254,254,62,254.000,254,254,96,254.000,254,254,127,254.000,254,254,1,254,254,254,64,254.000,254,254,65,254.000,254,254,221,254.000,254,254,146,254.000,254,254,150,254.000,254,254,127,254.000,254,254,1,254,254,254,83,254.000,254,254,85,254.000,254,254,113,254.000,254,254,126,254.000,254,254,178,254.000,254,254,144,254.000,254,254
