 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4,Area5,Mean5,Min5,Max5,Area6,Mean6,Min6,Max6,Area7,Mean7,Min7,Max7,Area8,Mean8,Min8,Max8,Area9,Mean9,Min9,Max9,Area10,Mean10,Min10,Max10,Area11,Mean11,Min11,Max11,Area12,Mean12,Min12,Max12,Area13,Mean13,Min13,Max13,Area14,Mean14,Min14,Max14,Area15,Mean15,Min15,Max15,Area16,Mean16,Min16,Max16,Area17,Mean17,Min17,Max17,Area18,Mean18,Min18,Max18,Area19,Mean19,Min19,Max19,Area20,Mean20,Min20,Max20,Area21,Mean21,Min21,Max21,Area22,Mean22,Min22,Max22,Area23,Mean23,Min23,Max23,Area24,Mean24,Min24,Max24,Area25,Mean25,Min25,Max25,Area26,Mean26,Min26,Max26,Area27,Mean27,Min27,Max27,Area28,Mean28,Min28,Max28,Area29,Mean29,Min29,Max29,Area30,Mean30,Min30,Max30,Area31,Mean31,Min31,Max31,Area32,Mean32,Min32,Max32,Area33,Mean33,Min33,Max33,Area34,Mean34,Min34,Max34,Area35,Mean35,Min35,Max35,Area36,Mean36,Min36,Max36,Area37,Mean37,Min37,Max37,Area38,Mean38,Min38,Max38,Area39,Mean39,Min39,Max39,Area40,Mean40,Min40,Max40,Area41,Mean41,Min41,Max41,Area42,Mean42,Min42,Max42,Area43,Mean43,Min43,Max43,Area44,Mean44,Min44,Max44,Area45,Mean45,Min45,Max45,Area46,Mean46,Min46,Max46,Area47,Mean47,Min47,Max47,Area48,Mean48,Min48,Max48,Area49,Mean49,Min49,Max49,Area50,Mean50,Min50,Max50,Area51,Mean51,Min51,Max51,Area52,Mean52,Min52,Max52,Area53,Mean53,Min53,Max53,Area54,Mean54,Min54,Max54,Area55,Mean55,Min55,Max55,Area56,Mean56,Min56,Max56,Area57,Mean57,Min57,Max57,Area58,Mean58,Min58,Max58,Area59,Mean59,Min59,Max59,Area60,Mean60,Min60,Max60,Area61,Mean61,Min61,Max61,Area62,Mean62,Min62,Max62,Area63,Mean63,Min63,Max63,Area64,Mean64,Min64,Max64,Area65,Mean65,Min65,Max65,Area66,Mean66,Min66,Max66,Area67,Mean67,Min67,Max67,Area68,Mean68,Min68,Max68,Area69,Mean69,Min69,Max69,Area70,Mean70,Min70,Max70,Area71,Mean71,Min71,Max71,Area72,Mean72,Min72,Max72,Area73,Mean73,Min73,Max73,Area74,Mean74,Min74,Max74,Area75,Mean75,Min75,Max75,Area76,Mean76,Min76,Max76,Area77,Mean77,Min77,Max77,Area78,Mean78,Min78,Max78,Area79,Mean79,Min79,Max79,Area80,Mean80,Min80,Max80,Area81,Mean81,Min81,Max81,Area82,Mean82,Min82,Max82,Area83,Mean83,Min83,Max83,Area84,Mean84,Min84,Max84,Area85,Mean85,Min85,Max85,Area86,Mean86,Min86,Max86,Area87,Mean87,Min87,Max87,Area88,Mean88,Min88,Max88,Area89,Mean89,Min89,Max89,Area90,Mean90,Min90,Max90,Area91,Mean91,Min91,Max91,Area92,Mean92,Min92,Max92,Area93,Mean93,Min93,Max93,Area94,Mean94,Min94,Max94,Area95,Mean95,Min95,Max95,Area96,Mean96,Min96,Max96,Area97,Mean97,Min97,Max97,Area98,Mean98,Min98,Max98,Area99,Mean99,Min99,Max99,Area100,Mean100,Min100,Max100,Area101,Mean101,Min101,Max101,Area102,Mean102,Min102,Max102,Area103,Mean103,Min103,Max103,Area104,Mean104,Min104,Max104,Area105,Mean105,Min105,Max105,Area106,Mean106,Min106,Max106,Area107,Mean107,Min107,Max107,Area108,Mean108,Min108,Max108,Area109,Mean109,Min109,Max109,Area110,Mean110,Min110,Max110,Area111,Mean111,Min111,Max111,Area112,Mean112,Min112,Max112,Area113,Mean113,Min113,Max113,Area114,Mean114,Min114,Max114,Area115,Mean115,Min115,Max115,Area116,Mean116,Min116,Max116,Area117,Mean117,Min117,Max117,Area118,Mean118,Min118,Max118,Area119,Mean119,Min119,Max119,Area120,Mean120,Min120,Max120,Area121,Mean121,Min121,Max121,Area122,Mean122,Min122,Max122,Area123,Mean123,Min123,Max123,Area124,Mean124,Min124,Max124,Area125,Mean125,Min125,Max125,Area126,Mean126,Min126,Max126,Area127,Mean127,Min127,Max127,Area128,Mean128,Min128,Max128,Area129,Mean129,Min129,Max129,Area130,Mean130,Min130,Max130,Area131,Mean131,Min131,Max131,Area132,Mean132,Min132,Max132,Area133,Mean133,Min133,Max133,Area134,Mean134,Min134,Max134,Area135,Mean135,Min135,Max135,Area136,Mean136,Min136,Max136,Area137,Mean137,Min137,Max137,Area138,Mean138,Min138,Max138,Area139,Mean139,Min139,Max139,Area140,Mean140,Min140,Max140,Area141,Mean141,Min141,Max141,Area142,Mean142,Min142,Max142,Area143,Mean143,Min143,Max143,Area144,Mean144,Min144,Max144,Area145,Mean145,Min145,Max145,Area146,Mean146,Min146,Max146,Area147,Mean147,Min147,Max147,Area148,Mean148,Min148,Max148,Area149,Mean149,Min149,Max149,Area150,Mean150,Min150,Max150,Area151,Mean151,Min151,Max151,Area152,Mean152,Min152,Max152,Area153,Mean153,Min153,Max153,Area154,Mean154,Min154,Max154,Area155,Mean155,Min155,Max155,Area156,Mean156,Min156,Max156,Area157,Mean157,Min157,Max157,Area158,Mean158,Min158,Max158,Area159,Mean159,Min159,Max159,Area160,Mean160,Min160,Max160,Area161,Mean161,Min161,Max161,Area162,Mean162,Min162,Max162,Area163,Mean163,Min163,Max163
1,118,42.314,11,156,1,22,22,22,1,11,11,11,82,28.317,11,78,225,28.809,0,89,209,53.900,11,145,90,21.456,0,56,51,39.392,11,167,171,66.351,11,167,227,39.969,11,167,69,18.232,0,45,1,11,11,11,63,24.333,0,67,4,19.250,11,22,126,22.437,0,134,102,13.931,0,45,145,39.372,0,145,107,56.187,11,167,67,8.881,0,45,154,33.201,0,67,118,44.008,11,134,43,42.930,11,111,80,33.688,11,145,62,15.968,0,33,3,37.000,33,45,1,11,11,11,175,12.194,0,33,100,41.620,11,89,169,63.266,11,145,262,29.324,0,145,1,11,11,11,123,35.358,0,111,69,27.826,0,78,213,14.723,0,67,201,37.448,11,89,136,12.544,0,45,115,15.400,0,33,75,37.227,11,78,139,34.705,11,122,1,33,33,33,78,19.141,0,145,103,39.262,0,100,87,15.552,0,33,87,12.644,0,33,86,41.674,0,156,95,15.874,0,78,205,34.985,0,89,167,35.329,11,167,145,33.310,0,156,142,19.894,0,78,68,18.603,0,33,1,22,22,22,230,15.317,0,67,127,35.252,0,89,67,28.522,11,67,317,38.697,11,156,18,30.000,22,45,90,12.711,0,22,118,27.119,0,111,1,11,11,11,83,14.976,0,33,71,50.592,11,134,98,17.173,11,33,171,11.708,0,33,81,26.691,0,122,173,38.422,11,145,135,30.652,0,78,1,0,0,0,67,12.672,0,45,63,13.270,0,33,1,0,0,0,65,29.169,11,67,180,24.233,0,111,99,15.111,0,33,103,12.612,0,45,1,45,45,45,82,20.341,11,56,178,16.382,0,45,87,37.264,0,100,3,11.000,11,11,275,21.200,0,100,171,38.222,0,134,73,23.918,0,45,134,35.134,11,156,111,39.288,11,167,107,22.187,0,78,60,41.417,11,156,6,61.333,33,100,83,19.590,0,45,103,27.854,0,167,120,34.458,11,167,108,13.972,0,56,214,50.967,0,167,200,20.165,0,100,127,28.071,0,167,1,0,0,0,154,11.643,0,33,160,16.706,0,33,190,40.758,11,122,91,34.330,0,78,101,31.168,11,100,142,19.739,0,167,75,36.413,0,134,86,55.930,11,167,273,34.154,0,167,139,25.835,0,78,106,37.575,0,111,107,28.449,0,134,132,13.167,0,33,68,9.559,0,45,64,35.109,11,78,159,28.881,0,134,164,44.561,0,167,101,23.535,0,167,135,34.022,11,134,82,58.232,11,167,100,49.950,11,134,191,30.084,11,167,92,19.435,0,78,165,33.824,0,167,181,36.840,11,100,83,30.940,11,67,239,21.531,0,145,136,38.103,11,100,111,39.811,11,167,76,39.934,11,167,88,23.318,0,145,171,50.988,22,134,83,27.831,11,145,141,15.014,0,56,143,28.895,11,100,211,24.194,0,67,63,17.333,0,45,82,67.793,11,167,2,39,22,56,64,71.578,22,167,1,167,167,167,89,65.337,22,167,117,55.564,11,167,1,33,33,33,59,21.864,0,45,77,18.325,0,56,1,11,11,11,138,23.268,11,122,92,42.065,11,134,302,31.679,11,134,117,17.410,0,45,152,19.342,0,45,204,27.108,11,67,105,46.390,11,156,172,35.436,11,111,71,21.761,0,78,102,24.441,0,78,76,43.355,11,89,172,18.756,0,56,1,22,22,22,95,13.779,0,33,1,22,22,22,117,31.624,0,134,188,23.404,0,67,66,20.212,11,56,64,26.656,0,78,228,44.311,11,122
2,118,58.619,11,167,1,22,22,22,1,22,22,22,82,3.622,0,33,225,19.191,0,67,209,22.105,0,78,90,11.678,0,78,51,0.431,0,11,171,11.491,0,56,227,23.207,0,111,69,34.101,11,100,1,22,22,22,63,44.778,0,156,4,13.750,11,22,126,28.825,0,156,102,11.353,0,45,145,38.310,11,145,107,2.364,0,33,67,12.910,0,111,154,70.071,11,156,118,15.212,0,67,43,5.116,0,22,80,35.763,11,111,62,22.565,11,56,3,92.667,78,111,1,56,56,56,175,6.160,0,33,100,12.340,0,100,169,125.456,33,167,262,15.824,0,89,1,11,11,11,123,33.837,11,122,69,33.145,11,67,213,30.465,0,167,201,73.547,33,156,136,8.353,0,67,115,19.974,0,67,75,78.827,22,167,139,46.835,11,167,1,56,56,56,78,13.282,0,45,103,77.039,11,167,87,22.241,0,56,87,9.736,0,33,86,39.767,11,167,95,20.379,0,56,205,65.434,0,145,167,37.257,0,122,145,67.910,22,167,142,30.056,11,156,68,31.603,11,89,1,45,45,45,230,13.843,0,56,127,67.764,11,167,67,47.119,11,145,317,43.136,11,167,18,38.944,11,67,90,16.767,0,56,118,10.814,0,33,1,22,22,22,83,25.048,0,67,71,43.662,22,78,98,25.541,11,56,171,8.105,0,33,81,25.049,11,100,173,50.382,11,156,135,59.096,11,145,1,0,0,0,67,12.716,0,56,63,10.476,0,22,1,11,11,11,65,34.308,11,78,180,21.833,0,111,99,17.273,0,56,103,11.583,0,111,1,45,45,45,82,37.207,11,122,178,21.382,0,89,87,84.264,33,167,3,14.667,11,22,275,31.447,0,122,171,26.041,0,100,73,41.082,11,111,134,46.903,11,156,111,23.883,11,56,107,48.299,22,111,60,50.317,22,78,6,29.667,11,45,83,18.663,0,56,103,6.087,0,22,120,14.492,0,45,108,14.750,0,89,214,41.033,11,122,200,9.760,0,56,127,11.197,0,67,1,0,0,0,154,11.429,0,67,160,16.431,0,67,190,59.479,22,145,91,50.725,11,156,101,37.881,11,122,142,15.641,0,67,75,30.200,11,78,86,14.477,0,45,273,16.645,0,67,139,52.734,11,167,106,33.236,11,89,107,20.280,0,89,132,13.841,0,45,68,7.809,0,67,64,47.812,11,111,159,41.453,0,167,164,34.421,0,111,101,17.139,0,56,135,35.030,0,122,82,11.012,0,45,100,21.370,0,122,191,21.257,0,78,92,17.848,11,56,165,22.806,0,100,181,67.072,11,167,83,19.940,0,56,239,20.234,0,145,136,66.419,11,167,111,43.009,11,167,76,18.750,0,56,88,3.500,0,22,171,52.778,22,134,83,21.952,0,56,141,17.348,0,111,143,27.580,11,111,211,26.953,0,89,63,23.476,0,78,82,11.024,0,56,2,0,0,0,64,19.297,0,56,1,11,11,11,89,12.011,0,45,117,5.077,0,22,1,67,67,67,59,34.814,11,89,77,25.442,0,111,1,11,11,11,138,34.109,11,78,92,20.304,0,67,302,30.914,0,111,117,28.402,0,78,152,19.408,0,67,204,37.966,11,100,105,38.038,11,89,172,65.709,22,156,71,11.465,0,33,102,12.618,0,22,76,23.224,11,67,172,24.401,0,100,1,0,0,0,95,16.463,0,45,1,11,11,11,117,8.949,0,45,188,24.207,0,100,66,22.939,11,56,64,32.031,11,111,228,39.561,11,111
3,118,35.602,11,111,1,11,11,11,1,11,11,11,82,56.183,11,134,225,54.676,0,167,209,54.321,11,167,90,39.322,11,100,51,37.294,11,67,171,50.433,11,145,227,45.361,11,122,69,63.261,22,134,1,45,45,45,63,66.730,22,145,4,16.500,11,22,126,46.706,11,134,102,23.529,0,78,145,62.869,11,167,107,24.364,0,89,67,18.881,11,33,154,48.104,11,100,118,43.686,11,134,43,37.744,11,100,80,30.450,0,89,62,48.887,11,111,3,18.333,11,22,1,11,11,11,175,45.794,11,100,100,27.350,0,78,169,51.615,11,134,262,48.015,11,122,1,33,33,33,123,36.829,11,111,69,29.232,11,67,213,78.258,11,167,201,79.264,22,167,136,34.625,11,89,115,30.722,0,67,75,51.640,11,134,139,50.691,11,122,1,33,33,33,78,47.372,22,145,103,38.806,11,111,87,38.425,11,78,87,58.322,22,111,86,25.628,11,67,95,53.042,11,156,205,44.044,11,122,167,60.138,11,167,145,55.379,22,145,142,46.732,11,100,68,61.441,22,156,1,33,33,33,230,51.165,11,145,127,46.929,11,111,67,27.448,11,56,317,47.233,11,156,18,26.444,11,45,90,86.778,22,167,118,28.831,0,78,1,33,33,33,83,54.952,11,145,71,34.634,11,67,98,30.459,11,89,171,44.158,11,100,81,43.358,22,100,173,49.364,11,111,135,73.748,11,167,1,11,11,11,67,50.642,11,145,63,43.460,11,122,1,11,11,11,65,37.415,11,89,180,58.350,11,156,99,66.071,22,156,103,41.087,22,89,1,11,11,11,82,50.915,22,111,178,38.062,0,100,87,37.931,11,111,3,18.333,11,22,275,29.869,0,78,171,31.211,0,100,73,39.329,22,78,134,37.724,11,111,111,30.477,11,78,107,56.308,22,134,60,30.850,11,67,6,50.167,33,78,83,67.506,22,156,103,32.019,11,78,120,46.117,11,122,108,49.630,11,122,214,46.822,11,100,200,39.440,11,100,127,63.496,11,156,1,33,33,33,154,50.065,11,134,160,40.625,11,111,190,53.579,11,134,91,30.747,11,78,101,51.921,11,156,142,27.000,11,89,75,25.933,0,134,86,48.814,11,122,273,66.685,11,167,139,52.568,11,167,106,29.415,11,89,107,30.907,0,134,132,33.636,11,78,68,41.353,11,134,64,32.188,11,89,159,33.667,11,100,164,45.695,11,100,101,44.129,11,134,135,35.748,11,78,82,28.732,11,67,100,70.000,11,167,191,42.283,11,111,92,39.576,11,100,165,36.691,11,111,181,58.182,22,167,83,90.735,33,167,239,51.632,11,156,136,41.640,11,111,111,51.757,22,111,76,52.750,22,134,88,23.170,11,45,171,65.480,11,167,83,41.904,11,89,141,60.979,22,134,143,58.042,11,156,211,45.422,11,100,63,22.921,11,56,82,48.695,11,167,2,67,56,78,64,46.219,22,89,1,22,22,22,89,36.494,11,111,117,51.427,22,145,1,45,45,45,59,29.475,11,89,77,70.623,22,156,1,33,33,33,138,35.087,11,89,92,37.000,11,67,302,42.060,11,145,117,31.094,11,89,152,42.375,11,89,204,39.554,11,78,105,43.295,11,89,172,56.622,11,167,71,46.451,11,122,102,38.735,11,134,76,20.868,11,45,172,37.349,11,89,1,56,56,56,95,58.611,22,122,1,67,67,67,117,57.325,22,134,188,45.574,11,145,66,78.288,22,167,64,43.625,22,78,228,71.982,11,167
4,118,254.000,254,254,1,254,254,254,1,254,254,254,82,254.000,254,254,225,254.000,254,254,209,254.000,254,254,90,254.000,254,254,51,254.000,254,254,171,254.000,254,254,227,254.000,254,254,69,254.000,254,254,1,254,254,254,63,254.000,254,254,4,254.000,254,254,126,254.000,254,254,102,254.000,254,254,145,254.000,254,254,107,254.000,254,254,67,254.000,254,254,154,254.000,254,254,118,254.000,254,254,43,254.000,254,254,80,254.000,254,254,62,254.000,254,254,3,254.000,254,254,1,254,254,254,175,254.000,254,254,100,254.000,254,254,169,254.000,254,254,262,254.000,254,254,1,254,254,254,123,254.000,254,254,69,254.000,254,254,213,254.000,254,254,201,254.000,254,254,136,254.000,254,254,115,254.000,254,254,75,254.000,254,254,139,254.000,254,254,1,254,254,254,78,254.000,254,254,103,254.000,254,254,87,254.000,254,254,87,254.000,254,254,86,254.000,254,254,95,254.000,254,254,205,254.000,254,254,167,254.000,254,254,145,254.000,254,254,142,254.000,254,254,68,254.000,254,254,1,254,254,254,230,254.000,254,254,127,254.000,254,254,67,254.000,254,254,317,254.000,254,254,18,254.000,254,254,90,254.000,254,254,118,254.000,254,254,1,254,254,254,83,254.000,254,254,71,254.000,254,254,98,254.000,254,254,171,254.000,254,254,81,254.000,254,254,173,254.000,254,254,135,254.000,254,254,1,254,254,254,67,254.000,254,254,63,254.000,254,254,1,254,254,254,65,254.000,254,254,180,254.000,254,254,99,254.000,254,254,103,254.000,254,254,1,254,254,254,82,254.000,254,254,178,254.000,254,254,87,254.000,254,254,3,254.000,254,254,275,254.000,254,254,171,254.000,254,254,73,254.000,254,254,134,254.000,254,254,111,254.000,254,254,107,254.000,254,254,60,254.000,254,254,6,254.000,254,254,83,254.000,254,254,103,254.000,254,254,120,254.000,254,254,108,254.000,254,254,214,254.000,254,254,200,254.000,254,254,127,254.000,254,254,1,254,254,254,154,254.000,254,254,160,254.000,254,254,190,254.000,254,254,91,254.000,254,254,101,254.000,254,254,142,254.000,254,254,75,254.000,254,254,86,254.000,254,254,273,254.000,254,254,139,254.000,254,254,106,254.000,254,254,107,254.000,254,254,132,254.000,254,254,68,254.000,254,254,64,254.000,254,254,159,254.000,254,254,164,254.000,254,254,101,254.000,254,254,135,254.000,254,254,82,254.000,254,254,100,254.000,254,254,191,254.000,254,254,92,254.000,254,254,165,254.000,254,254,181,254.000,254,254,83,254.000,254,254,239,254.000,254,254,136,254.000,254,254,111,254.000,254,254,76,254.000,254,254,88,254.000,254,254,171,254.000,254,254,83,254.000,254,254,141,254.000,254,254,143,254.000,254,254,211,254.000,254,254,63,254.000,254,254,82,254.000,254,254,2,254,254,254,64,254.000,254,254,1,254,254,254,89,254.000,254,254,117,254.000,254,254,1,254,254,254,59,254.000,254,254,77,254.000,254,254,1,254,254,254,138,254.000,254,254,92,254.000,254,254,302,254.000,254,254,117,254.000,254,254,152,254.000,254,254,204,254.000,254,254,105,254.000,254,254,172,254.000,254,254,71,254.000,254,254,102,254.000,254,254,76,254.000,254,254,172,254.000,254,254,1,254,254,254,95,254.000,254,254,1,254,254,254,117,254.000,254,254,188,254.000,254,254,66,254.000,254,254,64,254.000,254,254,228,254.000,254,254
